An Châu, Sơn Động, Bắc Giang
Thạnh Hóa - Thạnh Hóa - Long An
Thủ Thừa - Thủ Thừa - Long An
Vĩnh Hưng - Vĩnh Hưng - Long An
An Lạc Thôn - Kế Sách - Sóc Trăng
Châu Thành - Châu Thành - Sóc Trăng
Cù Lao Dung - Cù Lao Dung - Sóc Trăng
Đại Ngãi - Long Phú - Sóc Trăng
Huỳnh Hữu Nghĩa - Mỹ Tú - Sóc Trăng
Hưng Lợi - Thạnh Trị - Sóc Trăng
Kế Sách - Kế Sách - Sóc Trăng
Lịch Hội Thượng - Trần Đề - Sóc Trăng
Long Phú - Long Phú - Sóc Trăng
Mỹ Xuyên - Mỹ Xuyên - Sóc Trăng
Phú Lộc - Thạnh Trị - Sóc Trăng
Trần Đề - Trần Đề - Sóc Trăng
Bình Phú - Cai Lậy - Tiền Giang
Cái Bè - Cái Bè - Tiền Giang
Chợ Gạo - Chợ Gạo - Tiền Giang
Mỹ Phước - Tân Phước - Tiền Giang
Tân Hiệp - Châu Thành - Tiền Giang
Tân Hòa - Gò Công Đông - Tiền Giang
Vàm Láng - Gò Công Đông - Tiền Giang
Vĩnh Bình - Gò Công Tây - Tiền Giang
Càng Long - Càng Long - Trà Vinh
Cầu Kè - Cầu Kè - Trà Vinh
Cầu Ngang - Cầu Ngang - Trà Vinh
Cầu Quan - Tiểu Cần - Trà Vinh
Châu Thành - Châu Thành - Trà Vinh
Định An - Trà Cú - Trà Vinh
Long Thành - Duyên Hải - Trà Vinh
Mỹ Long - Cầu Ngang - Trà Vinh
Tiểu Cần - Tiểu Cần - Trà Vinh
Trà Cú - Trà Cú - Trà Vinh
Cái Nhum - Mang Thít - Vĩnh Long
Long Hồ - Long Hồ - Vĩnh Long
Tam Bình - Tam Bình - Vĩnh Long
Tân Quới - Bình Tân - Vĩnh Long
Trà Ôn - Trà Ôn - Vĩnh Long
Vũng Liêm - Vũng Liêm - Vĩnh Long
An Khê - An Khê - Gia Lai
An Lạc - Bình Chánh - Hồ Chí Minh
An Lộc - Bình Long - Bình Phước
An Lưu - Kinh Môn - Hải Dương
An Thạnh - Thuận An - Bình Dương
An Thới - Phú Quốc - Kiên Giang
Ayun Pa - Ayun Pa - Gia Lai
B'lao - Bảo Lộc - Lâm Đồng
Ba Đình - Ba Tơ - Quảng Ngãi
Ba Đồn - Quảng Trạch - Quảng Bình
Ba Hàng - Phổ Yên - Thái Nguyên
Ba Ngòi - Cam Ranh - Khánh Hòa
Bà Rịa - Châu Thành - Bà Rịa - Vũng Tàu
Bạch Hạc - Việt Trì - Phú Thọ
Bãi Bông - Phổ Yên - Thái Nguyên
Bãi Cháy - Hồng Gai - Quảng Ninh
Bắc Kạn - Bạch Thông - Bắc Thái
Bắc Sơn - Phổ Yên - Thái Nguyên
Bần Yên Nhân - Mỹ Hào - Hưng Yên
Bến Tắm - Chí Linh - Hải Dương
Bích Động - Việt Yên - Bắc Giang
Bỉm Sơn - Hà Trung - Thanh Hóa
Bình Định - An Nhơn - Bình Định
Bồng Sơn - Hoài Nhơn - Bình Định
Buôn Hồ - Krông Búk - Đắk Lắk
Cái Đôi - Phú Tân - Minh Hải
Cai Lậy - Cai Lậy - Tiền Giang
Cái Răng - Châu Thành - Cần Thơ
Cái Vồn - Bình Minh - Vĩnh Long
Can Lộc - Can Lộc - Hà Tĩnh
Cao Lãnh - Cao Lãnh - Đồng Tháp
Cao Thắng - Hồng Gai - Quảng Ninh
Cẩm Giàng - Cẩm Giàng - Hải Dương
Cẩm Thủy - Cẩm Thủy - Thanh Hóa
Cầu Diễn - Từ Liêm - Hà Nội
Cầu Giấy - Từ Liêm - Hà Nội
Cầu Gồ - Yên Thế - Bắc Giang
Chi Lăng - Tịnh Biên - An Giang
Chợ Mới - Chợ Mới - Bắc Kạn
Chơn Thành - Chơn Thành - Bình Phước
Chùa Hang - Đồng Hỷ - Thái Nguyên
Chư Păh - Chư Păh - Gia Lai
Cọc 5 - Hồng Gai - Quảng Ninh
Cọc 6 - Cẩm Phả - Quảng Ninh
Cửa Lò - Nghi Lộc - Nghệ An
Cửa Ông - Cẩm Phả - Quảng Ninh
Dĩ An - Dĩ An - Bình Dương
Duy Xuyên - Duy Xuyên - Quảng Nam - Đà Nẵng
Duyên Hải - Duyên Hải - Trà Vinh
Dương Đông - Phú Quốc - Kiên Giang
Đại Từ - Đại Từ - Thái Nguyên
Đập Đá - An Nhơn - Bình Định
Điện Biên - Điện Biên - Lai Châu
Đồ Sơn - Đồ Sơn - Hải Phòng
Đồng Nai - Cát Tiên - Lâm Đồng
Đông Triều - Đông Triều - Quảng Ninh
Đồng Văn - Duy Tiên - Hà Nam
Đồng Xoài - Đồng Phú - Bình Phước
Đức Giang - Gia Lâm - Hà Nội
Đức Phổ - Đức Phổ - Quảng Ngãi
Gia Lâm - Gia Lâm - Hà Nội
Gia Nghĩa - Đắk Nông - Đắk Nông
Giá Rai - Giá Rai - Bạc Liêu
Giếng Đáy - Hồng Gai - Quảng Ninh
Gò Công - Gò Công Đông - Tiền Giang
Hà Cối - Quảng Hà - Quảng Ninh
Hà Lầm - Hồng Gai - Quảng Ninh
Hà Nam - Thanh Liêm - Hà Nam Ninh
Hà Tiên - Hà Tiên - Kiên Giang
Hà Tu - Hồng Gai - Quảng Ninh
Hải Lăng - Hải Lăng - Quảng Trị
Hải Ninh - Móng Cái - Quảng Ninh
Hòa Bình - Tương Dương - Nghệ An
Hòa Hiệp Trung - Đông Hòa - Phú Yên
Hòa Mạc - Duy Tiên - Hà Nam
Hòa Thành - Hòa Thành - Tây Ninh
Hòa Vinh - Đông Hòa - Phú Yên
Hoàng Mai - Quỳnh Lưu - Nghệ An
Hồ - Thuận Thành - Bắc Ninh
Hộ Phòng - Giá Rai - Bạc Liêu
Hồng Lĩnh - Đức Thọ - Hà Tĩnh
Hồng Ngự - Hồng Ngự - Đồng Tháp
Hùng Quốc - Trà Lĩnh - Cao Bằng
Kiến An - Kiến An - Hải Phòng
Kinh Môn - Kinh Môn - Hải Dương
Kon Plông - Kon Plông - Kon Tum
Krông Pắc - Krông Pắc - Đắk Lắk
Kỳ Anh - Kỳ Anh - Hà Tĩnh
Kỳ Sơn - Kỳ Sơn - Hòa Bình
La Gi - Hàm Tân - Bình Thuận
Lái Thiêu - Thuận An - Bình Dương
Long Mỹ - Long Mỹ - Hậu Giang
Lục Nam - Lục Nam - Bắc Giang
Mai Dịch - Từ Liêm - Hà Nội
Mang Yang - Mang Yang - Gia Lai
Mạo Khê - Đông Triều - Quảng Ninh
Minh Khai - Bạch Thông - Bắc Kạn
Minh Tân - Kinh Môn - Hải Dương
Mỏ Chè - Phổ Yên - Thái Nguyên
Móng Cái - Hải Ninh - Quảng Ninh
Mộc Hóa - Mộc Hóa - Long An
Mông Dương - Cẩm Phả - Quảng Ninh
Mường Ẳng - Tuần Giáo - Điện Biên
Mường Lay - Mường Lay - Điện Biên
Mường Lay - Mường Lay - Điện Biên
Mường Khến - Tân Lạc - Hòa Bình
Mỹ Phước - Bến Cát - Bình Dương
Năm Căn - Ngọc Hiển - Minh Hải
Neo - Yên Dũng - Bắc Giang
Nếnh - Việt Yên - Bắc Giang
Ngã Năm - Ngã Năm - Sóc Trăng
Nghi Xuân - Nghi Xuân - Hà Tĩnh
Nghĩa Đô - Từ Liêm - Hà Nội
Nghĩa Lộ - Văn Chấn - Yên Bái
Nghĩa Tân - Từ Liêm - Hà Nội
Nhà Bàng - Tịnh Biên - An Giang
Nhồi - Đông Sơn - Thanh Hóa
Ninh Bình - Hoa Lư - Hà Nam Ninh
Ninh Hòa - Ninh Hòa - Khánh Hòa
Ô Môn - Ô Môn - Cần Thơ
Phả Lại - Chí Linh - Hải Dương
Phan Rang - Ninh Hải - Thuận Hải
Phong Thổ - Tam Đường - Lai Châu
Phố Mới - Quế Võ - Bắc Ninh
Phú Bài - Hương Thủy - Thừa Thiên - Huế
Phú Lâm - Tuy Hòa - Phú Yên
Phú Mỹ - Phú Mỹ - Bà Rịa - Vũng Tàu
Phú Tân - Cái Nước - Cà Mau
Phú Thứ - Kinh Môn - Hải Dương
Phúc Yên - Mê Linh - Vĩnh Phúc
Phụng Hiệp - Phụng Hiệp - Hậu Giang
Phước Bình - Phước Long - Bình Phước
Quan Hóa - Quan Hóa - Thanh Hóa
Quan Sơn - Quan Sơn - Thanh Hóa
Quán Toan - An Hải - Hải Phòng
Quảng Oai - Ba Vì - Hà Tây
Quảng Trị - Triệu Hải - Quảng Trị
Quảng Xương - Quảng Xương - Thanh Hóa
Quảng Yên - Quảng Yên - Quảng Ninh
Quỳ Châu - Quỳ Châu - Nghệ An
Rạch Sỏi - Châu Thành - Kiên Giang
Sa Pa - Sa Pa - Lào Cai
Sài Đồng - Gia Lâm - Hà Nội
Sao Đỏ - Chí Linh - Hải Dương
Sầm Sơn - Quảng Xương - Thanh Hóa
Sông Cầu - Sông Cầu - Phú Yên
Sông Thao - Cẩm Khê - Phú Thọ
Sơn Tịnh - Sơn Tịnh - Quảng Ngãi
Tam Dương - Tam Dương - Vĩnh Phúc
Tam Điệp - Tam Điệp - Hà Nam Ninh
Tam Kỳ - Tam Kỳ - Quảng Nam - Đà Nẵng
Tam Quan - Hoài Nhơn - Bình Định
Tào Xuyên - Hoằng Hóa - Thanh Hóa
Tắc Vân - Cà Mau - Minh Hải
Tân An - Hiệp Đức - Quảng Nam
Tân Bình - Yên Sơn - Tuyên Quang
Tân Châu - Tân Châu - An Giang
Tân Dân - Yên Dũng - Bắc Giang
Tân Phước Khánh - Tân Uyên - Bình Dương
Tế Tiêu - Mỹ Đức - Hà Tây
Thác Mơ - Phước Long - Bình Phước
Thái Hòa - Nghĩa Đàn - Nghệ An
Thái Hòa - Tân Uyên - Bình Dương
Thái Lão - Hưng Nguyên - Nghệ An
Thanh Hà - Lạc Thủy - Hòa Bình
Thanh Nê - Kiến Xương - Thái Bình
Thanh Sơn - Sơn Động - Bắc Giang
Tháp Chàm - An Sơn - Thuận Hải
Thốt Nốt - Thốt Nốt - Cần Thơ
Thuận An - Phú Vang - Thừa Thiên - Huế
Tịnh Biên - Tịnh Biên - An Giang
Tĩnh Gia - Tĩnh Gia - Thanh Hóa
Trà Lồng - Long Mỹ - Hậu Giang
Trảng Bàng - Trảng Bàng - Tây Ninh
Trới - Hoành Bồ - Quảng Ninh
Tuy Hòa - Tuy Hòa - Phú Khánh
Tứ Hạ - Hương Trà - Thừa Thiên - Huế
Từ Sơn - Từ Sơn - Bắc Ninh
Uyên Hưng - Tân Uyên - Bình Dương
Vạn Hà - Thiệu Hóa - Thanh Hóa
Vị Thanh - Vị Thanh - Cần Thơ
Vĩnh Châu - Vĩnh Châu - Sóc Trăng
Vĩnh Điện - Điện Bàn - Quảng Nam
Xuân Hòa - Mê Linh - Vĩnh Phúc
Xuân Lộc - Long Khánh - Đồng Nai
