thitran,huyen,tinh, 1, 2, 3, 4, 5
Lăng Cô,Phú Lộc,Thừa Thiên Huế,"105,5",11.489,108,2002,V
Phong Điền,Phong Điền,Thừa Thiên Huế,"18,86",7.479,397,1995,V
Phú Đa,Phú Vang,Thừa Thiên Huế,"29,9",10.592,354,2011,V
Phú Lộc,Phú Lộc,Thừa Thiên Huế,"27,19",11.154,410,1986,V
Sịa,Quảng Điền,Thừa Thiên Huế,"11,89",10.028,843,1997,V
An Lão,An Lão,Bình Định,"16,46",4.12,255,2007,V
Bình Dương,Phù Mỹ,Bình Định,"3,39",8.843,2.608,2002,V
Cát Tiến,Phù Cát,Bình Định,"17,64",11.597,657,2021,V
Diêu Trì,Tuy Phước,Bình Định,"5,47",19.051,3.482,1994,V
Ngô Mây,Phù Cát,Bình Định,"7,55",15.782,2.09,1987,V
Phù Mỹ,Phù Mỹ,Bình Định,"10,55",16.954,1.607,1991,V
Phú Phong,Tây Sơn,Bình Định,"11,58",19.698,1.701,1979,IV
Tăng Bạt Hổ,Hoài Ân,Bình Định,"5,8",7.755,1.337,1986,V
Tuy Phước,Tuy Phước,Bình Định,"6,36",18.297,2.876,1987,V
Vân Canh,Vân Canh,Bình Định,"20,26",6.741,333,2002,V
Vĩnh Thạnh,Vĩnh Thạnh,Bình Định,"9,36",6.25,668,2005,V
Chợ Lầu,Bắc Bình,Bình Thuận,"32,56",13.368,410,1992,V
Đức Tài,Đức Linh,Bình Thuận,"31,66",19.24,607,1999,V
Lạc Tánh,Tánh Linh,Bình Thuận,"38,16",16.668,437,1999,V
Liên Hương,Tuy Phong,Bình Thuận,"11,89",35.26,2.965,1983,V
Lương Sơn,Bắc Bình,Bình Thuận,"29,93",13.843,462,2007,V
Ma Lâm,Hàm Thuận Bắc,Bình Thuận,"15,51",13.958,899,1999,V
Phan Rí Cửa,Tuy Phong,Bình Thuận,"14,94",45.805,3.066,1979,IV
Phú Long,Hàm Thuận Bắc,Bình Thuận,"22,51",14.368,638,2003,V
Tân Minh,Hàm Tân,Bình Thuận,7,6.38,911,2003,V
Tân Nghĩa,Hàm Tân,Bình Thuận,"55,2",11.395,206,2007,V
Thuận Nam,Hàm Thuận Nam,Bình Thuận,"28,7",14.697,512,1999,V
Võ Xu,Đức Linh,Bình Thuận,"27,65",17.535,634,1999,V
Cam Đức,Cam Lâm,Khánh Hòa,"10,05",16.602,1.652,2007,V
Diên Khánh,Diên Khánh,Khánh Hòa,"3,95",19.914,5.042,1981,IV
Khánh Vĩnh,Khánh Vĩnh,Khánh Hòa,"9,36",4.816,515,1989,V
Tô Hạp,Khánh Sơn,Khánh Hòa,"16,15",4.647,288,1986,V
Trường Sa,Trường Sa,Khánh Hòa,"0,15",30,200,2007,V
Vạn Giã,Vạn Ninh,Khánh Hòa,"2,03",19.676,9.693,1979,IV
Khánh Hải,Ninh Hải,Ninh Thuận,"10,8",16.425,1.521,1994,V
Phước Dân,Ninh Phước,Ninh Thuận,"21,5",25.444,1.183,1993,V
Tân Sơn,Ninh Sơn,Ninh Thuận,"17,64",11.301,641,2000,V
Chí Thạnh,Tuy An,Phú Yên,"14,35",9.52,663,1979,V
Củng Sơn,Sơn Hòa,Phú Yên,"22,21",10.106,455,1979,V
Hai Riêng,Sông Hinh,Phú Yên,"31,12",11.275,362,1989,V
La Hai,Đồng Xuân,Phú Yên,"21,04",8.994,427,1986,V
Phú Hòa,Phú Hòa,Phú Yên,"17,79",8.976,505,2007,V
Phú Thứ,Tây Hòa,Phú Yên,14,12.92,923,2013,V
Ái Nghĩa,Đại Lộc,Quảng Nam,"12,3",17.493,1.422,1984,V
Đông Phú,Quế Sơn,Quảng Nam,"12,69",13.036,1.027,1986,V
Hà Lam,Thăng Bình,Quảng Nam,"11,7",17.425,1.489,1981,V
Hương An,Quế Sơn,Quảng Nam,"11,17",8.267,740,2020,V
Khâm Đức,Phước Sơn,Quảng Nam,"29,98",7.318,244,1986,V
Nam Phước,Duy Xuyên,Quảng Nam,"14,5",22.911,1.58,1994,V
Núi Thành,Núi Thành,Quảng Nam,"4,57",12.902,2.823,1984,IV
Phú Thịnh,Phú Ninh,Quảng Nam,"6,48",4.302,664,2009,V
Prao,Đông Giang,Quảng Nam,"31,2",4.699,151,1994,V
Tân Bình,Hiệp Đức,Quảng Nam,"23,17",6.249,270,2020,V
Thạnh Mỹ,Nam Giang,Quảng Nam,"206,58",7.616,37,1981,V
Tiên Kỳ,Tiên Phước,Quảng Nam,"8,28",7.637,922,1981,V
Trà My,Bắc Trà My,Quảng Nam,"20,35",7.253,356,1981,V
Trung Phước,Nông Sơn,Quảng Nam,"49,24",11.466,233,2023,V
Ba Tơ,Ba Tơ,Quảng Ngãi,"32,05",6.739,210,1990,V
Châu Ổ,Bình Sơn,Quảng Ngãi,"8,20",13.027,1.589,1986,V
Chợ Chùa,Nghĩa Hành,Quảng Ngãi,"7,4",9.093,1.229,1986,V
Di Lăng,Sơn Hà,Quảng Ngãi,"56,92",9.972,175,1997,V
La Hà,Tư Nghĩa,Quảng Ngãi,"4,6",9.079,1.973,1987,V
Mộ Đức,Mộ Đức,Quảng Ngãi,"8,6",10.862,1.263,1992,V
Sông Vệ,Tư Nghĩa,Quảng Ngãi,"2,63",8.925,3.393,1991,V
Trà Xuân,Trà Bồng,Quảng Ngãi,"6,09",8.431,1.384,1999,V
Buôn Trấp,Krông Ana,Đắk Lắk,"31,2",23.145,742,1984,IV
Ea Drăng,Ea H'leo,Đắk Lắk,"16,88",19.813,1.174,1998,IV
Ea Kar,Ea Kar,Đắk Lắk,"24,44",13.386,547,1989,IV
Ea Knốp,Ea Kar,Đắk Lắk,"27,58",11.268,408,1986,V
Ea Pốk,Cư M'gar,Đắk Lắk,"39,89",14.824,371,1984,V
Ea Súp,Ea Súp,Đắk Lắk,"13,5",12.94,959,1998,V
Krông Kmar,Krông Bông,Đắk Lắk,"5,3",6.782,1.28,1998,V
Pơng Drang,Krông Búk,Đắk Lắk,"31,24",17.988,576,2023,V
Krông Năng,Krông Năng,Đắk Lắk,"24,83",12.775,514,1995,V
Liên Sơn,Lắk,Đắk Lắk,"12,42",6.416,517,,V
M'Drắk,M'Drắk,Đắk Lắk,6,5.936,989,1989,V
Phước An,Krông Pắc,Đắk Lắk,"9,81",17.857,1.82,1996,IV
Quảng Phú,Cư M'gar,Đắk Lắk,"9,73",26.733,2.748,1998,IV
Đắk Mâm,Krông Nô,Đắk Nông,"25,82",7.288,282,1999,V
Đắk Mil,Đắk Mil,Đắk Nông,5,11.487,2.297,1989,IV
Đức An,Đắk Song,Đắk Nông,"12,93",6.653,515,2007,V
Ea T'ling,Cư Jút,Đắk Nông,"21,69",16.893,779,1992,IV
Kiến Đức,Đắk R'lấp,Đắk Nông,"15,6",10.808,693,1999,IV
Chư Prông,Chư Prông,Gia Lai,"20,15",10.81,536,1981,V
Chư Sê,Chư Sê,Gia Lai,"28,13",29.007,1.031,1988,IV
Chư Ty,Đức Cơ,Gia Lai,"15,4",12.806,832,1991,V
Đak Đoa,Đak Đoa,Gia Lai,"22,1",16.757,758,2000,V
Đak Pơ,Đak Pơ,Gia Lai,"21,78",5.085,233,2013,V
Ia Kha,Ia Grai,Gia Lai,"31,09",11.539,371,1996,V
Ia Ly,Chư Păh,Gia Lai,"48,45",6.35,131,2013,V
Kbang,Kbang,Gia Lai,"20,9",16.07,769,1988,V
Kon Dơng,Mang Yang,Gia Lai,18,10.185,566,1999,V
Kông Chro,Kông Chro,Gia Lai,"25,6",10.433,408,1988,V
Nhơn Hòa,Chư Pưh,Gia Lai,21,12.395,590,2008,V
Phú Hòa,Chư Păh,Gia Lai,"25,8",8.312,322,1996,V
Phú Thiện,Phú Thiện,Gia Lai,"15,1",20.18,1.336,1998,V
Phú Túc,Krông Pa,Gia Lai,"20,4",11.963,586,1989,V
Đăk Glei,Đăk Glei,Kon Tum,"87,5",6.824,78,1996,V
Đăk Hà,Đăk Hà,Kon Tum,"15,8",16.031,1.015,1994,V
Đăk Rve,Kon Rẫy,Kon Tum,"51,6",5.167,100,2002,V
Đăk Tô,Đăk Tô,Kon Tum,"39,9",13.561,340,1988,V
Măng Đen,Kon Plông,Kon Tum,"148,07",6.913,47,2019,V
Plei Kần,Ngọc Hồi,Kon Tum,"25,1",18.114,722,1991,IV
Sa Thầy,Sa Thầy,Kon Tum,"14,73",11.027,749,1990,V
Cát Tiên,Cát Tiên,Lâm Đồng,"20,26",16.5,814,2013,V
D'Ran,Đơn Dương,Lâm Đồng,"133,3",19.127,143,1989,V
Di Linh,Di Linh,Lâm Đồng,"24,65",25.08,1.017,1981,V
Đạ M'ri,Đạ Huoai,Lâm Đồng,"126,46",5.708,45,1986,V
Đạ Tẻh,Đạ Tẻh,Lâm Đồng,25,15.89,636,1986,V
Đinh Văn,Lâm Hà,Lâm Đồng,"34,6",20.815,601,1987,V
Lạc Dương,Lạc Dương,Lâm Đồng,"70,61",10.62,150,1979,V
Liên Nghĩa,Đức Trọng,Lâm Đồng,"37,4",47.276,1.264,1985,IV
Lộc Thắng,Bảo Lâm,Lâm Đồng,"80,3",19.557,244,1994,V
Ma Đa Guôi,Đạ Huoai,Lâm Đồng,"25,7",13.8,536,1979,V
Nam Ban,Lâm Hà,Lâm Đồng,"20,89",15.342,734,1987,V
Phước Cát,Cát Tiên,Lâm Đồng,"16,95",10.924,644,2018,V
Thạnh Mỹ,Đơn Dương,Lâm Đồng,"21,31",14.085,660,1987,V
Đất Đỏ,Đất Đỏ,Bà Rịa – Vũng Tàu,"22,14",23,1.038,2006,V
Long Điền,Long Điền,Bà Rịa – Vũng Tàu,"14,29",20.595,1.441,1982,V
Long Hải,Long Điền,Bà Rịa – Vũng Tàu,"10,52",43.162,4.102,1982,V
Ngãi Giao,Châu Đức,Bà Rịa – Vũng Tàu,"13,96",20.118,1.441,1994,V
Phước Bửu,Xuyên Mộc,Bà Rịa – Vũng Tàu,"9,19",18.043,1.963,1995,V
Phước Hải,Đất Đỏ,Bà Rịa – Vũng Tàu,"16,56",24.085,1.454,2006,V
Dầu Tiếng,Dầu Tiếng,Bình Dương,"29,88",16.427,549,1994,V
Lai Uyên,Bàu Bàng,Bình Dương,"88,36",32.028,362,2018,V
Phước Vĩnh,Phú Giáo,Bình Dương,"32,56",16.065,493,1994,V
Tân Bình,Bắc Tân Uyên,Bình Dương,"28,93",9.879,341,2020,V
Tân Thành,Bắc Tân Uyên,Bình Dương,"26,88",8.568,319,2018,V
Đức Phong,Bù Đăng,Bình Phước,"10,10",11.067,1.095,1994,V
Lộc Ninh,Lộc Ninh,Bình Phước,"7,79",10.424,1.338,1994,V
Tân Khai,Hớn Quản,Bình Phước,"42,75",15.269,357,2018,V
Tân Phú,Đồng Phú,Bình Phước,"31,02",5.631,181,2002,V
Thanh Bình,Bù Đốp,Bình Phước,"14,51",13.519,931,2005,V
Dầu Giây,Thống Nhất,Đồng Nai,"14,14",23.721,1.677,2019,V
Định Quán,Định Quán,Đồng Nai,"9,95",28.021,2.816,1985,V
Gia Ray,Xuân Lộc,Đồng Nai,"13,96",29.125,2.086,1993,V
Hiệp Phước,Nhơn Trạch,Đồng Nai,"18,83",38.645,2.052,2019,V
Long Giao,Cẩm Mỹ,Đồng Nai,"33,75",10.524,312,2021,V
Long Thành,Long Thành,Đồng Nai,"9,15",45.378,4.959,,IV
Tân Phú,Tân Phú,Đồng Nai,"8,19",25.312,3.09,1991,V
Trảng Bom,Trảng Bom,Đồng Nai,"9,77",40.028,4.097,1994,IV
Vĩnh An,Vĩnh Cửu,Đồng Nai,"32,94",26.531,805,1994,V
Cần Thạnh,Cần Giờ,Thành phố Hồ Chí Minh,"24,09",17.442,724,2005,V
Củ Chi,Củ Chi,Thành phố Hồ Chí Minh,"3,82",30.063,7.869,1985,V
Hóc Môn,Hóc Môn,Thành phố Hồ Chí Minh,"1,75",40.146,22.94,1977,V
Nhà Bè,Nhà Bè,Thành phố Hồ Chí Minh,"5,95",52.427,8.811,1986,V
Tân Túc,Bình Chánh,Thành phố Hồ Chí Minh,"8,56",51.462,6.011,2003,V
Bến Cầu,Bến Cầu,Tây Ninh,"6,38",13.378,2.096,1999,V
Châu Thành,Châu Thành,Tây Ninh,"7,55",16.004,2.119,1998,V
Dương Minh Châu,Dương Minh Châu,Tây Ninh,"4,65",9.07,1.95,1998,V
Gò Dầu,Gò Dầu,Tây Ninh,"6,02",34.068,5.659,1963,V
Tân Biên,Tân Biên,Tây Ninh,"8,21",15.674,1.909,1994,V
Tân Châu,Tân Châu,Tây Ninh,"7,54",12.271,1.627,1994,V
An Châu,Châu Thành,An Giang,"12,85",23.921,1.861,1979,IV
An Phú,An Phú,An Giang,"8,16",13.427,1.645,1984,V
Ba Chúc,Tri Tôn,An Giang,"20,56",16.31,793,2003,V
Cái Dầu,Châu Phú,An Giang,"6,39",17.971,2.812,1979,IV
Chợ Mới,Chợ Mới,An Giang,"2,93",21.874,7.465,,IV
Chợ Vàm,Phú Tân,An Giang,"17,06",22.845,1.339,1979,V
Cô Tô,Tri Tôn,An Giang,"42,45",9.567,225,2020,V
Đa Phước,An Phú,An Giang,"15,76",17.59,1.116,2023,V
Hội An,Chợ Mới,An Giang,"22,98",18.225,793,2023,V
Long Bình,An Phú,An Giang,"4,22",10.795,2.558,2006,V
Mỹ Luông,Chợ Mới,An Giang,"9,51",17.38,1.827,2003,V
Núi Sập,Thoại Sơn,An Giang,"9,49",25.592,2.696,1979,IV
Óc Eo,Thoại Sơn,An Giang,"9,89",13.5,1.365,2003,V
Phú Hòa,Thoại Sơn,An Giang,"7,43",18.625,2.507,2002,V
Phú Mỹ,Phú Tân,An Giang,"7,01",25,3.566,1997,IV
Tri Tôn,Tri Tôn,An Giang,"8,7",18.095,2.079,1979,IV
Vĩnh Bình,Châu Thành,An Giang,"37,44",9.762,261,2020,V
Vĩnh Thạnh Trung,Châu Phú,An Giang,"28,43",29.528,1.039,2020,V
Châu Hưng,Vĩnh Lợi,Bạc Liêu,"34,2",12.794,374,2007,V
Gành Hào,Đông Hải,Bạc Liêu,"11,45",17.365,1.516,1979,V
Hòa Bình,Hòa Bình,Bạc Liêu,"26,72",22,823,1987,V
Ngan Dừa,Hồng Dân,Bạc Liêu,"19,19",18.453,961,1979,V
Phước Long,Phước Long,Bạc Liêu,"46,07",18.555,402,1979,V
Ba Tri,Ba Tri,Bến Tre,"5,80",19.9,3.431,1981,IV
Tiệm Tôm,Ba Tri,Bến Tre,"22,36",20.79,930,2023,V
Bình Đại,Bình Đại,Bến Tre,"13,5",28.7,2.125,1981,IV
Châu Thành,Châu Thành,Bến Tre,"3,14",5.63,1.792,1995,V
Tiên Thủy,Châu Thành,Bến Tre,"18,32",13.808,753,2023,V
Chợ Lách,Chợ Lách,Bến Tre,"8,13",11.836,1.455,1981,V
Giồng Trôm,Giồng Trôm,Bến Tre,"11,55",12.547,1.086,1981,V
Phước Mỹ Trung,Mỏ Cày Bắc,Bến Tre,"8,32",9.879,1.187,2023,V
Mỏ Cày,Mỏ Cày Nam,Bến Tre,"5,22",18.59,3.561,1981,IV
Thạnh Phú,Thạnh Phú,Bến Tre,"11,39",12.4,1.088,1994,V
Cái Đôi Vàm,Phú Tân,Cà Mau,"19,09",18.62,975,1994,V
Cái Nước,Cái Nước,Cà Mau,"25,49",16.892,662,1987,V
Đầm Dơi,Đầm Dơi,Cà Mau,"10,63",9.442,888,1984,V
Năm Căn,Năm Căn,Cà Mau,"9,45",21.835,2.304,1987,IV
Rạch Gốc,Ngọc Hiển,Cà Mau,"52,72",8.945,169,2009,V
Sông Đốc,Trần Văn Thời,Cà Mau,"27,40",42.051,1.534,1984,IV
Thới Bình,Thới Bình,Cà Mau,"21,55",15.534,720,1979,V
Trần Văn Thời,Trần Văn Thời,Cà Mau,"20,94",16,764,1984,V
U Minh,U Minh,Cà Mau,"18,39",7.106,386,1979,V
Cờ Đỏ,Cờ Đỏ,Cần Thơ,"7,58",12.663,1.67,1998,V
Phong Điền,Phong Điền,Cần Thơ,"7,54",11.852,1.571,2007,V
Thạnh An,Vĩnh Thạnh,Cần Thơ,"17,82",18.67,1.047,2000,V
Thới Lai,Thới Lai,Cần Thơ,"9,47",10.183,1.075,2000,V
Vĩnh Thạnh,Vĩnh Thạnh,Cần Thơ,"7,38",4.921,666,2007,V
Cái Tàu Hạ,Châu Thành,Đồng Tháp,"2,6",9.142,3.516,1988,V
Lai Vung,Lai Vung,Đồng Tháp,"7,48",8.108,1.083,1999,V
Lấp Vò,Lấp Vò,Đồng Tháp,"4,54",10.497,2.312,1999,IV
Mỹ An,Tháp Mười,Đồng Tháp,"18,44",16.611,900,1984,IV
Mỹ Thọ,Cao Lãnh,Đồng Tháp,"8,86",12.868,1.452,1987,IV
Sa Rài,Tân Hồng,Đồng Tháp,7,11.36,1.662,1989,V
Thanh Bình,Thanh Bình,Đồng Tháp,"7,71",12.302,1.595,1987,V
Thường Thới Tiền,Hồng Ngự,Đồng Tháp,"15,83",17.496,1.105,2019,V
Tràm Chim,Tam Nông,Đồng Tháp,"12,32",10.349,840,1999,V
Bảy Ngàn,Châu Thành A,Hậu Giang,"13,03",11.99,920,2009,V
Búng Tàu,Phụng Hiệp,Hậu Giang,"15,19",7.143,470,2011,V
Cái Tắc,Châu Thành A,Hậu Giang,"10,5",11.14,1.06,2007,V
Cây Dương,Phụng Hiệp,Hậu Giang,"15,12",7.981,527,2000,V
Kinh Cùng,Phụng Hiệp,Hậu Giang,13,10.288,791,2000,V
Mái Dầm,Châu Thành,Hậu Giang,"16,02",11.737,732,2011,V
Một Ngàn,Châu Thành A,Hậu Giang,"7,3",6.756,925,2003,V
Nàng Mau,Vị Thủy,Hậu Giang,"6,24",5.138,823,1999,V
Ngã Sáu,Châu Thành,Hậu Giang,"14,23",9.189,646,2001,V
Rạch Gòi,Châu Thành A,Hậu Giang,"9,78",10.073,1.029,2007,V
Vĩnh Viễn,Long Mỹ,Hậu Giang,"40,72",11.142,273,2019,V
Giồng Riềng,Giồng Riềng,Kiên Giang,"22,69",16.441,724,1988,V
Gò Quao,Gò Quao,Kiên Giang,"19,54",9.892,506,1988,V
Hòn Đất,Hòn Đất,Kiên Giang,"33,01",19.786,599,1988,V
Kiên Lương,Kiên Lương,Kiên Giang,35,35,1,1983,IV
Minh Lương,Châu Thành,Kiên Giang,"19,17",19.191,1.001,1988,V
Sóc Sơn,Hòn Đất,Kiên Giang,"22,07",15.082,683,2004,V
Tân Hiệp,Tân Hiệp,Kiên Giang,"32,17",19.929,619,1988,V
Thứ Ba,An Biên,Kiên Giang,"15,31",10.703,699,1979,V
Thứ Mười Một,An Minh,Kiên Giang,"11,83",5.64,476,1988,V
Vĩnh Thuận,Vĩnh Thuận,Kiên Giang,"21,85",13.293,608,1979,V
Bến Lức,Bến Lức,Long An,"8,70",27.314,3.139,1979,IV
Bình Phong Thạnh,Mộc Hóa,Long An,"46,25",8.486,183,2019,V
Cần Đước,Cần Đước,Long An,"5,75",23.808,4.14,1979,IV
Cần Giuộc,Cần Giuộc,Long An,"21,05",53.877,2.559,1976,IV
Đông Thành,Đức Huệ,Long An,"8,13",8.565,1.053,1991,V
Đức Hòa,Đức Hòa,Long An,"6,95",50.537,7.271,,IV
Hậu Nghĩa,Đức Hòa,Long An,"12,43",36.825,2.962,,IV
Hiệp Hòa,Đức Hòa,Long An,"9,9",18.612,1.88,1991,V
Tầm Vu,Châu Thành,Long An,"3,44",8.932,2.596,1992,V
Tân Hưng,Tân Hưng,Long An,"5,1",8.447,1.656,1994,V
Tân Thạnh,Tân Thạnh,Long An,"7,7",5.274,684,1992,V
Tân Trụ,Tân Trụ,Long An,"5,69",5.804,1.02,1991,V
Thạnh Hóa,Thạnh Hóa,Long An,14,5.16,368,1989,V
Thủ Thừa,Thủ Thừa,Long An,"8,79",14.441,1.643,1979,V
Vĩnh Hưng,Vĩnh Hưng,Long An,"5,01",8.062,1.609,1991,V
An Lạc Thôn,Kế Sách,Sóc Trăng,"20,15",11.39,565,2013,V
Châu Thành,Châu Thành,Sóc Trăng,"7,41",8.592,1.159,2009,V
Cù Lao Dung,Cù Lao Dung,Sóc Trăng,"9,06",5.148,568,2002,V
Đại Ngãi,Long Phú,Sóc Trăng,"7,91",10.099,1.276,2011,V
Huỳnh Hữu Nghĩa,Mỹ Tú,Sóc Trăng,"11,43",6.169,539,,V
Hưng Lợi,Thạnh Trị,Sóc Trăng,"14,97",11.901,794,2009,V
Kế Sách,Kế Sách,Sóc Trăng,"14,61",13.735,940,,V
Lịch Hội Thượng,Trần Đề,Sóc Trăng,"20,79",14.747,709,2009,V
Long Phú,Long Phú,Sóc Trăng,"26,22",14.08,536,,V
Mỹ Xuyên,Mỹ Xuyên,Sóc Trăng,"14,95",14.936,999,,V
Phú Lộc,Thạnh Trị,Sóc Trăng,"25,8",14.586,565,,V
Trần Đề,Trần Đề,Sóc Trăng,"18,83",15.013,797,2009,V
Bình Phú,Cai Lậy,Tiền Giang,"19,07",18.502,970,2022,V
Cái Bè,Cái Bè,Tiền Giang,"4,14",14.794,3.573,,V
Chợ Gạo,Chợ Gạo,Tiền Giang,"3,04",7.517,2.473,,V
Mỹ Phước,Tân Phước,Tiền Giang,"40,28",6.678,166,1994,V
Tân Hiệp,Châu Thành,Tiền Giang,"0,74",6.242,8.435,,V
Tân Hòa,Gò Công Đông,Tiền Giang,"3,25",6.83,2.102,1987,V
Vàm Láng,Gò Công Đông,Tiền Giang,"6,00",14.302,2.384,2010,V
Vĩnh Bình,Gò Công Tây,Tiền Giang,"7,69",11.854,1.541,1979,V
Càng Long,Càng Long,Trà Vinh,"12,52",15.223,1.216,1996,V
Cầu Kè,Cầu Kè,Trà Vinh,"2,97",6.343,2.136,1995,V
Cầu Ngang,Cầu Ngang,Trà Vinh,"1,99",6.267,3.149,1991,V
Cầu Quan,Tiểu Cần,Trà Vinh,"5,63",9.543,1.695,1995,V
Châu Thành,Châu Thành,Trà Vinh,"3,46",5.702,1.648,1984,V
Định An,Trà Cú,Trà Vinh,"4,04",5.444,1.348,2008,V
Long Thành,Duyên Hải,Trà Vinh,"5,21",6.18,1.385,2012,V
Mỹ Long,Cầu Ngang,Trà Vinh,"4,80",6.743,1.405,1995,V
Tiểu Cần,Tiểu Cần,Trà Vinh,"4,02",6.441,1.602,1994,IV
Trà Cú,Trà Cú,Trà Vinh,"2,95",6.744,2.286,1994,V
Cái Nhum,Mang Thít,Vĩnh Long,"16,16",11.557,715,1994,V
Long Hồ,Long Hồ,Vĩnh Long,"15,30",9.784,640,1991,V
Tam Bình,Tam Bình,Vĩnh Long,"1,67",5.158,3.089,1985,V
Tân Quới,Bình Tân,Vĩnh Long,"14,72",20.153,1.369,2020,V
Trà Ôn,Trà Ôn,Vĩnh Long,"2,31",11.513,4.984,1981,V
Vũng Liêm,Vũng Liêm,Vĩnh Long,"4,72",6.934,1.469,1985,V
An Khê,An Khê,Gia Lai,1979,2004,thành lập phường,"Phường An Bình, Tây Sơn, An Phú, An Tân",Thị xã An Khê
An Lạc,Bình Chánh,Hồ Chí Minh,1981,2003,thành lập phường,"Phường An Lạc, An Lạc A",Quận Bình Tân
An Lộc,Bình Long,Bình Phước,1994,2009,thành lập phường,"Phường An Lộc, Hưng Chiến, Phú Thịnh, Phú Đức",Thị xã Bình Long
An Lưu,Kinh Môn,Hải Dương,1996,2004,đổi tên,Phường An Lưu,Thị xã Kinh Môn
An Thạnh,Thuận An,Bình Dương,1994,2011,thành lập phường,Phường An Thạnh,Thành phố Thuận An
An Thới,Phú Quốc,Kiên Giang,2003,2020,thành lập phường,Phường An Thới,Thành phố Phú Quốc
Ayun Pa,Ayun Pa,Gia Lai,1979,2007,thành lập phường,"Phường Cheo Reo, Hòa Bình, Đoàn Kết, Sông Bờ",Thị xã Ayun Pa
B'lao,Bảo Lộc,Lâm Đồng,,1994,thành lập phường,"Phường 1, 2, B'lao",Thành phố Bảo Lộc
Ba Đình,Ba Tơ,Quảng Ngãi,1987,1990,đổi tên,Thị trấn Ba Tơ,Huyện Ba Tơ
Ba Đồn,Quảng Trạch,Quảng Bình,1958,2013,thành lập phường,Phường Ba Đồn,Thị xã Ba Đồn
Ba Hàng,Phổ Yên,Thái Nguyên,1972,2015,thành lập phường,Phường Ba Hàng,Thành phố Phổ Yên
Ba Ngòi,Cam Ranh,Khánh Hòa,1978,2000,thành lập phường,"Phường Ba Ngòi, Cam Lộc, Cam Lợi, Cam Linh, Cam Thuận, Cam Phú",Thành phố Cam Ranh
Bà Rịa,Châu Thành,Bà Rịa - Vũng Tàu,1982,1994,thành lập phường,"Phường Phước Hưng, Phước Hiệp, Phước Nguyên, Long Toàn, Phước Trung",Thành phố Bà Rịa
Bạch Hạc,Việt Trì,Phú Thọ,,1984,thành lập phường,Phường Bạch Hạc,Thành phố Việt Trì
Bãi Bông,Phổ Yên,Thái Nguyên,1972,2015,thành lập phường,Phường Bãi Bông,Thành phố Phổ Yên
Bãi Cháy,Hồng Gai,Quảng Ninh,,1981,thành lập phường,Phường Bãi Cháy,Thành phố Hạ Long
Bắc Kạn,Bạch Thông,Bắc Thái,1967,1990,thành lập phường,"Phường Đức Xuân, Phùng Chí Kiên, Sông Cầu",Thành phố Bắc Kạn
Bắc Sơn,Phổ Yên,Thái Nguyên,2011,2015,thành lập phường,Phường Bắc Sơn,Thành phố Phổ Yên
Bần Yên Nhân,Mỹ Hào,Hưng Yên,1989,2019,thành lập phường,Phường Bần Yên Nhân,Thị xã Mỹ Hào
Bến Tắm,Chí Linh,Hải Dương,2002,2010,thành lập phường,Phường Bến Tắm,Thành phố Chí Linh
Bích Động,Việt Yên,Bắc Giang,1997,2024,thành lập phường,Phường Bích Động,Thị xã Việt Yên
Bỉm Sơn,Hà Trung,Thanh Hóa,1977,1981,thành lập phường,"Phường Ba Đình, Bắc Sơn, Lam Sơn, Ngọc Trạo, Đông Sơn",Thị xã Bỉm Sơn
Bình Định,An Nhơn,Bình Định,1979,2011,thành lập phường,Phường Bình Định,Thị xã An Nhơn
Bồng Sơn,Hoài Nhơn,Bình Định,1986,2020,thành lập phường,Phường Bồng Sơn,Thị xã Hoài Nhơn
Buôn Hồ,Krông Búk,Đắk Lắk,1984,2008,thành lập phường,"Phường An Lạc, An Bình, Thiện An",Thị xã Buôn Hồ
Cái Đôi,Phú Tân,Minh Hải,,1979,đổi tên,Xã Phú Tân,Huyện Phú Tân
Cai Lậy,Cai Lậy,Tiền Giang,1976,2013,thành lập phường,"Phường 1, 2, 4, 5",Thị xã Cai Lậy
Cái Răng,Châu Thành,Cần Thơ,,2004,thành lập phường,Phường Lê Bình,Quận Cái Răng
Cái Vồn,Bình Minh,Vĩnh Long,,2012,thành lập phường,"Phường Cái Vồn, Thành Phước",Thị xã Bình Minh
Can Lộc,Can Lộc,Hà Tĩnh,1984,1999,thành lập thị trấn mới,Thị trấn Nghèn,Huyện Can Lộc
Cao Lãnh,Cao Lãnh,Đồng Tháp,,1983,thành lập phường,"Phường 1, 2, 3, 4",Thành phố Cao Lãnh
Cao Thắng,Hồng Gai,Quảng Ninh,,1981,thành lập phường,"Phường Cao Thắng, Cao Xanh",Thành phố Hạ Long
Cẩm Giàng,Cẩm Giàng,Hải Dương,1958,2019,thành lập thị trấn mới,Thị trấn Cẩm Giang,Huyện Cẩm Giàng
Cẩm Thủy,Cẩm Thủy,Thanh Hóa,1989,2019,thành lập thị trấn mới,Thị trấn Phong Sơn,Huyện Cẩm Thủy
Cầu Diễn,Từ Liêm,Hà Nội,1982,2013,thành lập phường,"Phường Cổ Nhuế 1, Cổ Nhuế 2, Phúc Diễn, Phú Diễn; Cầu Diễn","Quận Bắc Từ Liêm, Quận Nam Từ Liêm"
